START_ID,END_ID,relation
2,331,熟悉
2,332,熟悉
2,333,熟悉
2,334,熟悉
2,335,熟悉
2,336,熟悉
2,337,熟悉
2,338,熟悉
2,339,熟悉
2,340,熟悉
2,193,熟悉
2,175,熟悉
2,137,熟悉
2,107,熟悉
3,104,熟悉
3,114,熟悉
3,121,熟悉
3,143,熟悉
3,135,熟悉
3,136,熟悉
3,137,熟悉
3,138,熟悉
3,139,熟悉
3,140,熟悉
3,141,熟悉
3,142,熟悉
3,147,熟悉
3,111,熟悉
3,149,熟悉
3,150,熟悉
3,151,熟悉
3,154,熟悉
3,155,熟悉
3,158,熟悉
3,166,熟悉
3,169,熟悉
3,170,熟悉
3,171,熟悉
3,172,熟悉
3,173,熟悉
3,174,熟悉
3,175,熟悉
3,176,熟悉
3,177,熟悉
3,178,熟悉
3,179,熟悉
3,180,熟悉
3,181,熟悉
3,182,熟悉
3,184,熟悉
3,185,熟悉
3,186,熟悉
4,121,熟悉
4,114,熟悉
4,157,熟悉
4,207,熟悉
4,162,熟悉
4,152,熟悉
4,344,熟悉
4,345,熟悉
4,154,熟悉
4,112,熟悉
4,113,熟悉
4,324,熟悉
4,174,熟悉
5,105,熟悉
5,106,熟悉
5,121,熟悉
5,135,熟悉
5,137,熟悉
5,140,熟悉
5,141,熟悉
5,113,熟悉
5,115,熟悉
5,138,熟悉
5,154,熟悉
5,176,熟悉
5,151,熟悉
5,116,熟悉
5,111,熟悉
5,177,熟悉
5,155,熟悉
5,119,熟悉
5,323,熟悉
5,149,熟悉
5,324,熟悉
6,111,熟悉
6,112,熟悉
6,113,熟悉
6,114,熟悉
6,104,熟悉
6,117,熟悉
6,115,熟悉
6,116,熟悉
6,119,熟悉
6,120,熟悉
6,121,熟悉
6,135,熟悉
6,165,熟悉
6,140,熟悉
6,136,熟悉
6,139,熟悉
6,138,熟悉
6,141,熟悉
6,142,熟悉
6,143,熟悉
6,144,熟悉
6,145,熟悉
6,146,熟悉
6,147,熟悉
6,148,熟悉
6,149,熟悉
6,150,熟悉
6,151,熟悉
6,152,熟悉
6,153,熟悉
6,154,熟悉
6,155,熟悉
6,156,熟悉
6,157,熟悉
6,158,熟悉
6,159,熟悉
6,160,熟悉
7,104,熟悉
7,173,熟悉
7,121,熟悉
7,175,熟悉
7,158,熟悉
7,137,熟悉
7,117,熟悉
7,147,熟悉
7,135,熟悉
7,114,熟悉
7,178,熟悉
7,193,熟悉
7,154,熟悉
8,104,熟悉
8,185,熟悉
8,158,熟悉
8,129,熟悉
8,106,熟悉
8,324,熟悉
8,135,熟悉
8,141,熟悉
8,176,熟悉
8,171,熟悉
8,325,熟悉
8,326,熟悉
8,147,熟悉
8,178,熟悉
8,115,熟悉
8,191,熟悉
8,179,熟悉
8,173,熟悉
8,180,熟悉
8,137,熟悉
9,327,熟悉
9,194,熟悉
9,104,熟悉
9,169,熟悉
9,328,熟悉
9,329,熟悉
9,330,熟悉
9,137,熟悉
9,114,熟悉
9,121,熟悉
9,106,熟悉
9,203,熟悉
9,195,熟悉
9,199,熟悉
9,197,熟悉
9,198,熟悉
9,200,熟悉
9,201,熟悉
9,202,熟悉
9,203,熟悉
9,204,熟悉
