ID,skills,LABEL
100,Python,skill
101,C,skill
102,Java,skill
103,C++,skill
104,Linux,skill
105,TCP,skill
106,TCP/IP,skill
107,IPS,skill
108,Word,skill
109,PPT,skill
110,Excel,skill
111,Hive,skill
112,Spark,skill
113,Hadoop,skill
114,SQL,skill
115,Kafka,skill
116,Storm,skill
117,机器学习,skill
118,数据结构,skill
119,Hbase,skill
120,Flink,skill
121,Mysql,skill
122,Shell,skill
123,管理学知识,skill
124,数理统计知识,skill
125,统计学知识,skill
126,运筹学知识,skill
127,计算机知识,skill
128,软件工程知识,skill
129,分布式系统,skill
130,脚本语言,skill
131,数据科学知识,skill
132,信息科学知识,skill
133,经济学,skill
134,R语言,skill
135,Redis,skill
136,Druid,skill
137,Go,skill
138,Oracle,skill
139,ETL,skill
140,Elasticsearch,skill
141,Spring,skill
142,Unix,skill
143,Kylin,skill
144,Canal,skill
145,Sqoop,skill
146,Scribe,skill
147,JS,skill
148,Superset,skill
149,Nosql,skill
150,HTTP,skill
151,Impala,skill
152,Caffe,skill
153,CDN,skill
154,Mongdb,skill
155,Golang,skill
156,Yarn,skill
157,NLP,skill
158,Android,skill
159,HDFS,skill
160,Pandas,skill
161,AWS,skill
162,Pytorch,skill
163,Streaming,skill
164,OLAP,skill
165,RocksDB,skill
166,VUE,skill
167,Gbdt,skill
168,Azure,skill
169,PHP,skill
170,IOS,skill
171,CSS,skill
172,ES,skill
173,Git,skill
174,SpringBoot,skill
175,Kubernetes,skill
176,Nginx,skill
177,Memcache,skill
178,Zookeeper,skill
179,SVN,skill
180,SOA,skill
181,Cassandra,skill
182,OpenGl,skill
183,OSG,skill
184,Jenkin,skill
185,SpringMVC,skill
186,Springcloud,skill
187,ThreadLocal,skill
188,RESTFul,skill
189,RabbitMQ,skill
190,RocketMQ,skill
191,Maven,skill
192,Ant,skill
193,Docker,skill
194,Jmeter,skill
195,QTP,skill
196,Jira,skill
197,Selenium,skill
198,Appium,skill
199,LoadRunner,skill
200,Locust,skill
201,禅道,skill
202,TCP/HTTPS,skill
203,OPENSTACK,skill
204,SYBASE,skill
205,CV,skill
206,Mxnet,skill
207,Tensorflow,skill
208,SAS,skill
300,沟通能力,skill
301,办公软件,skill
302,毕业生,skill
303,研究生,skill
304,经验,skill
305,耐心,skill
306,踏实,skill
307,认真,skill
308,逻辑思维,skill
309,积极主动,skill
310,应变能力,skill
311,财务知识,skill
312,会计知识,skill
313,金融知识,skill
314,财务核算,skill
315,财务管理,skill
316,数学专业,skill
317,计算机专业,skill
318,信息科学专业,skill
319,统计学专业,skill
320,数据结构知识,skill
321,多线程编程,skill
322,读写英文论文能力,skill
323,JVM,skill
324,MyBatis,skill
325,Bootstrap,skill
326,jQuery,skill
327,fiddler,skill
328,asp,skill
329,jsp,skill
330,ruby,skill
331,nmap,skill
332,sqlmap,skill
333,metasploit,skill
334,CISSP,skill
335,CISP,skill
336,CISA,skill
337,FW,skill
338,VPN,skill
339,AC,skill
340,DLP,skill
341,DNN,skill
342,RNN,skill
343,Seq2Seq,skill
344,Keras,skill
345,MxNet,skill
